id,type_code,lemma,yo,gender,paradigm,declinable,nom,gen,dat,acc,ins,pre,loc2,review,source
wd:Q4474326,hodonym,Улица Фадеева,,,mixed_phrase,always,Улица Фадеева,,,,,,,needs_review,wikidata
wd:Q4472609,hodonym,Улица Космонавтов,,,mixed_phrase,always,Улица Космонавтов,,,,,,,needs_review,wikidata
wd:Q4471703,hodonym,Улица Волгина,,,mixed_phrase,always,Улица Волгина,,,,,,,needs_review,wikidata
wd:Q4311680,hodonym,Нагорный переулок,,,mixed_phrase,always,Нагорный переулок,,,,,,,needs_review,wikidata
wd:Q6685747,hodonym,Улица Николаева,,,mixed_phrase,always,Улица Николаева,,,,,,,needs_review,wikidata
wd:Q4471136,hodonym,Улица Авроры,,,mixed_phrase,always,Улица Авроры,,,,,,,needs_review,wikidata
wd:Q4471769,hodonym,Улица Высоцкого,,,mixed_phrase,always,Улица Высоцкого,,,,,,,needs_review,wikidata
wd:Q4238519,hodonym,Краснодарская улица,,,mixed_phrase,always,Краснодарская улица,,,,,,,needs_review,wikidata
wd:Q4472752,hodonym,Улица Куникова,,,mixed_phrase,always,Улица Куникова,,,,,,,needs_review,wikidata
wd:Q4345400,hodonym,Парковый переулок,,,mixed_phrase,always,Парковый переулок,,,,,,,needs_review,wikidata
wd:Q4238546,hodonym,Краснодарское кольцо,,,mixed_phrase,always,Краснодарское кольцо,,,,,,,needs_review,wikidata
wd:Q4471726,hodonym,Улица Воровского,,,mixed_phrase,always,Улица Воровского,,,,,,,needs_review,wikidata
wd:Q4187200,hodonym,Зареченская улица,,,mixed_phrase,always,Зареченская улица,,,,,,,needs_review,wikidata
wd:Q4471786,hodonym,Улица Гагарина,,,mixed_phrase,always,Улица Гагарина,,,,,,,needs_review,wikidata
wd:Q4471043,hodonym,Улица 23 Мая,,,mixed_phrase,always,Улица 23 Мая,,,,,,,needs_review,wikidata
wd:Q4473602,hodonym,Улица Победы,,,mixed_phrase,always,Улица Победы,,,,,,,needs_review,wikidata
wd:Q4472602,hodonym,Улица Космонавтов,,,mixed_phrase,always,Улица Космонавтов,,,,,,,needs_review,wikidata
wd:Q4474274,hodonym,Улица Тюленина,,,mixed_phrase,always,Улица Тюленина,,,,,,,needs_review,wikidata
wd:Q4186726,hodonym,Заповедная улица,,,mixed_phrase,always,Заповедная улица,,,,,,,needs_review,wikidata
wd:Q4473470,hodonym,Улица Островского,,,mixed_phrase,always,Улица Островского,,,,,,,needs_review,wikidata
wd:Q4439347,hodonym,Стандартный переулок,,,mixed_phrase,always,Стандартный переулок,,,,,,,needs_review,wikidata
wd:Q4474005,hodonym,Улица Сипягина,,,mixed_phrase,always,Улица Сипягина,,,,,,,needs_review,wikidata
wd:Q4474576,hodonym,Улица Шевцовой,,,mixed_phrase,always,Улица Шевцовой,,,,,,,needs_review,wikidata
wd:Q4479354,hodonym,Учебный переулок,,,mixed_phrase,always,Учебный переулок,,,,,,,needs_review,wikidata
wd:Q4473784,hodonym,Улица Революции 1905 года,,,mixed_phrase,always,Улица Революции 1905 года,,,,,,,needs_review,wikidata
wd:Q4333845,hodonym,Олимпийская улица,,,mixed_phrase,always,Олимпийская улица,,,,,,,needs_review,wikidata
wd:Q4473382,hodonym,Улица Ногина,,,mixed_phrase,always,Улица Ногина,,,,,,,needs_review,wikidata
wd:Q4473464,hodonym,Улица Осоавиахима,,,mixed_phrase,always,Улица Осоавиахима,,,,,,,needs_review,wikidata
wd:Q4480347,hodonym,Фабричная улица,,,mixed_phrase,always,Фабричная улица,,,,,,,needs_review,wikidata
wd:Q4333142,hodonym,Октябрьский проезд,,,mixed_phrase,always,Октябрьский проезд,,,,,,,needs_review,wikidata
wd:Q4471548,hodonym,Улица Бунимовича,,,mixed_phrase,always,Улица Бунимовича,,,,,,,needs_review,wikidata
wd:Q41748375,hodonym,2-я Вольная улица,,,mixed_phrase,always,2-я Вольная улица,,,,,,,needs_review,wikidata
